artist,song,song_name_len,duration_ms,explicit,year,popularity,hot,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,pop,rock,hiphop,dance,folk,rnb,latin
Tim Berg,Seek Bromance - Avicii??s Vocal Edit,37,203960,FALSE,2010,0,0,0.515,0.837,11,-2.552,1,0.0401,0.0868,0,0.0403,0.52,126.026,"pop, Dance/Electronic",1,0,0,1,0,0,0
Usher,OMG (feat. will.i.am),21,269493,FALSE,2010,73,0,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14E-05,0.36,0.326,129.998,"hip hop, pop, R&B",1,0,1,0,0,1,0
Maroon 5,Misery,6,216200,FALSE,2010,67,0,0.703,0.81,4,-4.874,0,0.0424,0.000315,0,0.216,0.726,102.978,pop,1,0,0,0,0,0,0
Jay Sean,Down,4,212106,FALSE,2009,3,0,0.657,0.695,2,-4.493,1,0.0321,0.0108,0,0.0822,0.683,65.997,"hip hop, pop, R&B",1,0,1,0,0,1,0
Rihanna,Man Down,8,267000,TRUE,2010,68,0,0.47,0.904,0,-4.024,0,0.177,0.0436,0,0.0491,0.557,155.788,"hip hop, pop, R&B",1,0,1,0,0,1,0
3OH!3,My First Kiss (feat. Ke$ha),27,192440,FALSE,2010,62,0,0.682,0.889,0,-4.166,1,0.0804,0.00564,0,0.36,0.827,138.021,"hip hop, pop, rock",1,1,1,0,0,0,0
Justin Bieber,Baby,4,214240,FALSE,2010,81,1,0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,pop,1,0,0,0,0,0,0
Cali Swag District,Teach Me How to Dougie,22,237480,TRUE,2011,66,0,0.846,0.438,11,-4.981,1,0.141,0.2,9.43E-05,0.0939,0.512,85.013,"hip hop, pop",1,0,1,0,0,0,0
Swedish House Mafia,Miami 2 Ibiza - Swedish House Mafia vs. Tinie Tempah,52,206460,TRUE,2010,54,0,0.736,0.929,7,-5.89,0,0.0674,0.00237,1.11E-05,0.402,0.658,125.03,"pop, Dance/Electronic",1,0,0,1,0,0,0
K'NAAN,Wavin' Flag,11,220520,FALSE,2009,57,0,0.625,0.699,0,-6.416,1,0.0729,0.13,0,0.238,0.717,75.974,set(),0,0,0,0,0,0,0
Ludacris,How Low,7,201586,TRUE,2010,63,0,0.785,0.498,1,-6.977,1,0.0533,0.00248,1.23E-06,0.224,0.418,143.96,"hip hop, pop",1,0,1,0,0,0,0
Kesha,Blah Blah Blah (feat. 3OH!3),28,172053,TRUE,2010,61,0,0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003,"pop, Dance/Electronic",1,0,0,1,0,0,0
DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",64,232506,TRUE,2010,51,0,0.544,0.781,10,-3.616,1,0.189,0.014,0,0.161,0.277,150.1,"hip hop, pop",1,0,1,0,0,0,0
